Area,Type,Rent,Date,BHK,Sosciety
Narhe,semifurnished,10500,25/01/19,2BHK,Durvankur
Narhe,Unfurnished,9500,12/09/18,2BHK,Durvankur
Narhe,Furnished,11500,12/09/18,2BHK,Durvankur
Narhe,Unfurnished,9000,25/01/19,2BHK,orchid
Narhe,Unfurnished,6500,12/09/18,1BHK,orchid
Narhe,Furnished,11000,25/01/19,2BHK,orchid
Sadashivpeth,Unfurnished,32000,12/09/18,2BHK,soba
Sadashivpeth,Unfurnished,40000,12/09/18,3BHK,soba
Sadashivpeth,Unfurnished,25000,12/09/18,1BHK,soba
Sadashivpeth,semifurnished,22000,25/01/19,3BHK,Govind
Sadashivpeth,semifurnished,18000,12/09/18,1BHK,Govind
Sadashivpeth,Unfurnished,16000,25/01/19,1BHK,Govind
Sadashivpeth,Unfurnished,20000,12/09/18,2BHK,Govind
Shivajinagar,semifurnished,15000,12/09/18,1BHK,Patil
karvenagar,semifurnished,22000,25/01/19,2BHK,sudarshan
Sadashivpeth,semifurnished,20000,12/09/18,2BHK,shanipar
karvenagar,Unfurnished,10000,25/01/19,1BHK,Gulmohar
karvenagar,Unfurnished,14000,12/09/18,1BHK,standalone
karvenagar,Unfurnished,15000,12/09/18,1BHK,shalini
karvenagar,Unfurnished,15500,25/01/19,2BHK,swami
Shivajinagar,semifurnished,30000,12/09/18,3BHK,Suryavadan
Shivajinagar,Unfurnished,25000,25/01/19,2BHK,Suryavadan
Shivajinagar,Unfurnished,25000,12/09/18,2BHK,IndependentHouse
Sadashivpeth,Unfurnished,15000,25/01/19,1BHK,Narisham
Sadashivpeth,Furnished,22000,12/09/18,1BHK,Narisham
Shivajinagar,Furnished,28000,25/01/19,1BHK,Neela
Shivajinagar,semifurnished,27000,12/09/18,2BHK,Pratibha
Shivajinagar,semifurnished,22000,25/01/19,2BHK,Pratibha
Shivajinagar,Furnished,17000,12/09/18,1BHK,Pratibha
Shivajinagar,Furnished,55000,12/09/18,3BHK,soyog
Shivajinagar,Furnished,35000,25/01/19,2BHK,soyog
